full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,72615,72615,5757,168,168,16,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,56870,56870,7015,311,311,45,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,20284,20284,4047,193,193,24,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,28737,28737,2212,32,32,2,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,21789,21789,2060,30,30,5,https://github.com/davila7/claude-code-templates
hesreallyhim/awesome-claude-code,25798,25798,1599,49,49,7,https://github.com/hesreallyhim/awesome-claude-code
anthropics/claude-code-action,5945,5945,1488,7,7,4,https://github.com/anthropics/claude-code-action
VoltAgent/awesome-claude-code-subagents,12102,12102,1303,56,56,7,https://github.com/VoltAgent/awesome-claude-code-subagents
diet103/claude-code-infrastructure-showcase,9108,9108,1177,6,6,1,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,7415,7415,526,19,19,2,https://github.com/frankbria/ralph-claude-code
Piebald-AI/claude-code-system-prompts,5173,5173,738,33,33,5,https://github.com/Piebald-AI/claude-code-system-prompts
ChrisWiles/claude-code-showcase,5416,5416,462,2,2,0,https://github.com/ChrisWiles/claude-code-showcase
OneRedOak/claude-code-workflows,3674,3674,543,1,1,1,https://github.com/OneRedOak/claude-code-workflows
shanraisshan/claude-code-best-practice,6351,6351,552,108,108,5,https://github.com/shanraisshan/claude-code-best-practice
1rgs/claude-code-proxy,3112,3112,413,1,1,0,https://github.com/1rgs/claude-code-proxy
disler/claude-code-hooks-mastery,3190,3190,572,5,5,0,https://github.com/disler/claude-code-hooks-mastery
kodu-ai/claude-coder,5290,5290,200,-1,-1,0,https://github.com/kodu-ai/claude-coder
zebbern/claude-code-guide,3497,3497,325,2,2,0,https://github.com/zebbern/claude-code-guide
anthropics/skills,81020,81020,8496,417,417,47,https://github.com/anthropics/skills
Yuyz0112/claude-code-reverse,2132,2132,365,2,2,0,https://github.com/Yuyz0112/claude-code-reverse
Maciek-roboblog/Claude-Code-Usage-Monitor,6738,6738,328,6,6,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
ykdojo/claude-code-tips,3847,3847,270,31,31,2,https://github.com/ykdojo/claude-code-tips
fuergaosi233/claude-code-proxy,2080,2080,295,6,6,0,https://github.com/fuergaosi233/claude-code-proxy
Cranot/claude-code-guide,2418,2418,256,1,1,0,https://github.com/Cranot/claude-code-guide
pedrohcgs/claude-code-my-workflow,504,504,701,5,5,18,https://github.com/pedrohcgs/claude-code-my-workflow
anthropics/claude-code-security-review,3499,3499,278,12,12,1,https://github.com/anthropics/claude-code-security-review
anthropics/claude-code-base-action,589,589,589,0,0,0,https://github.com/anthropics/claude-code-base-action
Pimzino/claude-code-spec-workflow,3469,3469,248,2,2,0,https://github.com/Pimzino/claude-code-spec-workflow
eyaltoledano/claude-task-master,25716,25716,2442,7,7,-2,https://github.com/eyaltoledano/claude-task-master
qwibitai/nanoclaw,17447,17447,2776,247,247,32,https://github.com/qwibitai/nanoclaw
wshobson/agents,29929,29929,3277,37,37,1,https://github.com/wshobson/agents
https-deeplearning-ai/sc-claude-code-files,435,435,593,0,0,1,https://github.com/https-deeplearning-ai/sc-claude-code-files
