full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,73392,73392,5834,105,105,16,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,59445,59445,7363,355,355,43,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,21011,21011,4137,111,111,13,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,28877,28877,2217,17,17,0,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,21993,21993,2081,18,18,5,https://github.com/davila7/claude-code-templates
hesreallyhim/awesome-claude-code,26118,26118,1625,37,37,5,https://github.com/hesreallyhim/awesome-claude-code
anthropics/claude-code-action,5990,5990,1500,1,1,-1,https://github.com/anthropics/claude-code-action
VoltAgent/awesome-claude-code-subagents,12395,12395,1330,23,23,2,https://github.com/VoltAgent/awesome-claude-code-subagents
diet103/claude-code-infrastructure-showcase,9136,9136,1181,5,5,2,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,7477,7477,531,12,12,-1,https://github.com/frankbria/ralph-claude-code
shanraisshan/claude-code-best-practice,7810,7810,713,248,248,29,https://github.com/shanraisshan/claude-code-best-practice
Piebald-AI/claude-code-system-prompts,5272,5272,750,10,10,1,https://github.com/Piebald-AI/claude-code-system-prompts
ChrisWiles/claude-code-showcase,5432,5432,465,1,1,0,https://github.com/ChrisWiles/claude-code-showcase
OneRedOak/claude-code-workflows,3683,3683,545,1,1,0,https://github.com/OneRedOak/claude-code-workflows
1rgs/claude-code-proxy,3126,3126,417,1,1,0,https://github.com/1rgs/claude-code-proxy
disler/claude-code-hooks-mastery,3213,3213,571,2,2,0,https://github.com/disler/claude-code-hooks-mastery
kodu-ai/claude-coder,5291,5291,199,0,0,-1,https://github.com/kodu-ai/claude-coder
zebbern/claude-code-guide,3506,3506,326,1,1,0,https://github.com/zebbern/claude-code-guide
Yuyz0112/claude-code-reverse,2139,2139,365,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
Maciek-roboblog/Claude-Code-Usage-Monitor,6775,6775,330,3,3,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
anthropics/skills,82936,82936,8723,226,226,27,https://github.com/anthropics/skills
ykdojo/claude-code-tips,4037,4037,284,16,16,1,https://github.com/ykdojo/claude-code-tips
fuergaosi233/claude-code-proxy,2087,2087,294,0,0,0,https://github.com/fuergaosi233/claude-code-proxy
pedrohcgs/claude-code-my-workflow,517,517,761,2,2,4,https://github.com/pedrohcgs/claude-code-my-workflow
Cranot/claude-code-guide,2429,2429,257,3,3,0,https://github.com/Cranot/claude-code-guide
anthropics/claude-code-base-action,592,592,589,0,0,0,https://github.com/anthropics/claude-code-base-action
anthropics/claude-code-security-review,3542,3542,281,3,3,-1,https://github.com/anthropics/claude-code-security-review
Pimzino/claude-code-spec-workflow,3475,3475,249,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
router-for-me/CLIProxyAPI,13054,13054,2110,62,62,10,https://github.com/router-for-me/CLIProxyAPI
https-deeplearning-ai/sc-claude-code-files,439,439,595,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
wshobson/agents,30132,30132,3302,19,19,1,https://github.com/wshobson/agents
eyaltoledano/claude-task-master,25757,25757,2441,3,3,-1,https://github.com/eyaltoledano/claude-task-master
qwibitai/nanoclaw,18323,18323,2943,144,144,26,https://github.com/qwibitai/nanoclaw
edmund-io/edmunds-claude-code,1253,1253,260,2,2,0,https://github.com/edmund-io/edmunds-claude-code
RichardAtCT/claude-code-telegram,1882,1882,220,7,7,2,https://github.com/RichardAtCT/claude-code-telegram
ding113/claude-code-hub,1591,1591,198,5,5,0,https://github.com/ding113/claude-code-hub
snarktank/ralph,11929,11929,1297,21,21,1,https://github.com/snarktank/ralph
siteboon/claudecodeui,7606,7606,970,5,5,0,https://github.com/siteboon/claudecodeui
EveryInc/compound-engineering-plugin,9825,9825,779,13,13,0,https://github.com/EveryInc/compound-engineering-plugin
feiskyer/claude-code-settings,1250,1250,186,1,1,0,https://github.com/feiskyer/claude-code-settings
lst97/claude-code-sub-agents,1438,1438,233,0,0,1,https://github.com/lst97/claude-code-sub-agents
carlvellotti/claude-code-pm-course,1541,1541,226,5,5,-1,https://github.com/carlvellotti/claude-code-pm-course
sugyan/claude-code-webui,941,941,211,0,0,0,https://github.com/sugyan/claude-code-webui
github/spec-kit,73793,73793,6319,87,87,9,https://github.com/github/spec-kit
ghuntley/claude-code-source-code-deobfuscation,850,850,414,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
nishimoto265/Claude-Code-Communication,492,492,238,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
sickn33/antigravity-awesome-skills,18834,18834,3362,185,185,18,https://github.com/sickn33/antigravity-awesome-skills
centminmod/my-claude-code-setup,1932,1932,180,1,1,0,https://github.com/centminmod/my-claude-code-setup
darcyegb/ClaudeCodeAgents,574,574,51,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
slopus/happy,14149,14149,1099,28,28,3,https://github.com/slopus/happy
rizethereum/claude-code-requirements-builder,1748,1748,171,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
andrepimenta/claude-code-chat,994,994,152,0,0,0,https://github.com/andrepimenta/claude-code-chat
bfly123/claude_code_bridge,1395,1395,132,7,7,2,https://github.com/bfly123/claude_code_bridge
disler/claude-code-hooks-multi-agent-observability,1230,1230,348,2,2,0,https://github.com/disler/claude-code-hooks-multi-agent-observability
Njengah/claude-code-cheat-sheet,1383,1383,174,1,1,0,https://github.com/Njengah/claude-code-cheat-sheet
steipete/claude-code-mcp,1148,1148,139,0,0,0,https://github.com/steipete/claude-code-mcp
obra/superpowers,69792,69792,5360,359,359,27,https://github.com/obra/superpowers
zhukunpenglinyutong/idea-claude-code-gui,1459,1459,160,4,4,0,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
catlog22/Claude-Code-Workflow,1407,1407,114,13,13,0,https://github.com/catlog22/Claude-Code-Workflow
JessyTsui/Claude-Code-Remote,1127,1127,121,2,2,0,https://github.com/JessyTsui/Claude-Code-Remote
trailofbits/claude-code-config,1468,1468,110,4,4,0,https://github.com/trailofbits/claude-code-config
anthropics/claude-plugins-official,8913,8913,875,35,35,4,https://github.com/anthropics/claude-plugins-official
peterkrueck/Claude-Code-Development-Kit,1315,1315,149,0,0,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
winfunc/opcode,20776,20776,1599,3,3,0,https://github.com/winfunc/opcode
pchalasani/claude-code-tools,1517,1517,99,0,0,0,https://github.com/pchalasani/claude-code-tools
farion1231/cc-switch,23355,23355,1442,148,148,6,https://github.com/farion1231/cc-switch
simonw/claude-code-transcripts,1081,1081,122,0,0,0,https://github.com/simonw/claude-code-transcripts
jarrodwatts/claude-code-config,955,955,120,0,0,0,https://github.com/jarrodwatts/claude-code-config
0xfurai/claude-code-subagents,741,741,139,0,0,0,https://github.com/0xfurai/claude-code-subagents
jeremylongshore/claude-code-plugins-plus-skills,1498,1498,180,5,5,0,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
EnzeD/vibe-coding,3998,3998,1338,2,2,0,https://github.com/EnzeD/vibe-coding
wasabeef/claude-code-cookbook,1022,1022,111,1,1,0,https://github.com/wasabeef/claude-code-cookbook
cixingguangming55555/wechat-bot,2533,2533,668,0,0,0,https://github.com/cixingguangming55555/wechat-bot
alirezarezvani/claude-code-tresor,568,568,135,1,1,0,https://github.com/alirezarezvani/claude-code-tresor
alirezarezvani/claude-skills,2326,2326,305,12,12,1,https://github.com/alirezarezvani/claude-skills
ComposioHQ/awesome-claude-skills,40351,40351,3997,180,180,17,https://github.com/ComposioHQ/awesome-claude-skills
revfactory/claude-code-mastering,759,759,122,0,0,0,https://github.com/revfactory/claude-code-mastering
anthropics/claude-agent-sdk-demos,1584,1584,247,2,2,0,https://github.com/anthropics/claude-agent-sdk-demos
d-kimuson/claude-code-viewer,938,938,104,1,1,0,https://github.com/d-kimuson/claude-code-viewer
anthropics/claude-agent-sdk-python,5143,5143,679,5,5,0,https://github.com/anthropics/claude-agent-sdk-python
numman-ali/openskills,8720,8720,560,6,6,0,https://github.com/numman-ali/openskills
browser-use/browser-use,79523,79523,9403,30,30,3,https://github.com/browser-use/browser-use
ericbuess/claude-code-docs,712,712,101,0,0,0,https://github.com/ericbuess/claude-code-docs
Alishahryar1/free-claude-code,775,775,94,2,2,0,https://github.com/Alishahryar1/free-claude-code
code-yeongyu/oh-my-opencode,36668,36668,2768,71,71,7,https://github.com/code-yeongyu/oh-my-opencode
anomalyco/opencode,115382,115382,11697,177,177,30,https://github.com/anomalyco/opencode
opactorai/Claudable,3765,3765,563,0,0,0,https://github.com/opactorai/Claudable
MadAppGang/claude-code,241,241,25,0,0,0,https://github.com/MadAppGang/claude-code
kn1026/cc,703,703,270,0,0,0,https://github.com/kn1026/cc
superdesigndev/superdesign,6058,6058,686,2,2,1,https://github.com/superdesigndev/superdesign
severity1/claude-code-prompt-improver,1168,1168,99,0,0,0,https://github.com/severity1/claude-code-prompt-improver
OthmanAdi/planning-with-files,15171,15171,1398,30,30,0,https://github.com/OthmanAdi/planning-with-files
Yeachan-Heo/oh-my-claudecode,8205,8205,569,40,40,4,https://github.com/Yeachan-Heo/oh-my-claudecode
lyconear/Claude-Code,4,4,147,0,0,0,https://github.com/lyconear/Claude-Code
greggh/claude-code.nvim,1883,1883,60,1,1,0,https://github.com/greggh/claude-code.nvim
daymade/claude-code-skills,620,620,89,1,1,0,https://github.com/daymade/claude-code-skills
PleasePrompto/notebooklm-skill,4060,4060,397,9,9,2,https://github.com/PleasePrompto/notebooklm-skill
BloopAI/vibe-kanban,22306,22306,2160,20,20,2,https://github.com/BloopAI/vibe-kanban
laravel/claude-code,510,510,16,0,0,0,https://github.com/laravel/claude-code
manzaltu/claude-code-ide.el,1384,1384,82,1384,1384,82,https://github.com/manzaltu/claude-code-ide.el
